accession	agricola_id	altitude	base_count	bio_material	cell_line	cell_type	collected_by	collection_date	country	cultivar	culture_collection	dataclass	description	dev_stage	doi	doi_url	ecotype	environmental_sample	first_public	germline	haplotype	host	identified_by	isolate	isolation_source	keywords	lab_host	last_updated	location	mating_type	metagenome_source	mol_type	organelle	patent_number	plasmid	pubmed_id	pubmed_url	sample_accession	scientific_name	sequence_md5	sequence_version	serotype	serovar	sex	specimen_voucher	strain	study_accession	sub_species	sub_strain	submitted_sex	tax_division	tax_id	tissue_lib	tissue_type	topology	variety
BS000697			29779					2020-04-11	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner17/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner17/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	611d71f06ce9bc6bcd68816d73e8366e	1										VRL	2697049			LINEAR	
BS000698			29779					2020-04-13	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner18/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner18/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	7ac8aa87a225bfb2136a944d65f9ac74	1										VRL	2697049			LINEAR	
BS000699			29782					2020-04-13	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner19/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner19/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	078799df6ad30e1be4efa512c5dd8b91	1										VRL	2697049			LINEAR	
BS000700			29779					2020-04-14	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner20/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner20/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	ea61760bd7dfc9011b1cab5d24f294d0	1										VRL	2697049			LINEAR	
BS000701			29782					2020-04-14	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner21/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner21/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	bdf8d0a3fe04f82a4272853a685ac529	1										VRL	2697049			LINEAR	
BS000702			29782					2020-04-16	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner22/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner22/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	c5df22dd3b03ae1b3d990348240f71e1	1										VRL	2697049			LINEAR	
BS000703			29782					2020-04-16	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner23/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner23/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	dcce7c4a4b8ebd5a6bf9812b5e124706	1										VRL	2697049			LINEAR	
BS000704			29782					2020-04-20	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner24/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner24/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	76b4687724f0433f288d8d1c3199354f	1										VRL	2697049			LINEAR	
BS000705			29782					2020-04-22	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner25/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner25/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	39e65705ac7b295cd57edaa034f7e755	1										VRL	2697049			LINEAR	
BS000706			29782					2020-03-25	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner26/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner26/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	1f45f5091feaafff37bcf6aa01d0c98f	1										VRL	2697049			LINEAR	
BS000707			29782					2020-04-24	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner27/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner27/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	b892fcb8ab20921a9ca7849414ea8fef	1										VRL	2697049			LINEAR	
BS000708			29779					2020-03-27	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner28/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner28/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	211443818d33a6ec36f29d5aabe1544a	1										VRL	2697049			LINEAR	
BS000709			29782					2020-05-01	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner29/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner29/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	bc0f55a9b4fa71065337ba82064c2db0	1										VRL	2697049			LINEAR	
BS000710			29812					2020-05-01	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner30/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner30/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	a1eeb3dc11b11b25a5b929e0896480dc	1										VRL	2697049			LINEAR	
BS000711			29782					2020-04-01	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner31/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner31/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	b8033de766e2a8a6e882011535fcec8a	1										VRL	2697049			LINEAR	
BS000712			29773					2020-05-03	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner32/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner32/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	3172761560a7f667e2f8b016516277aa	1										VRL	2697049			LINEAR	
BS000713			29812					2020-05-07	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner33/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner33/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	fba618f9674ec610f3a7f9c50ce171bb	1										VRL	2697049			LINEAR	
BS000714			29812					2020-05-07	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner34/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner34/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	ba5f394a5fa5ff22dc69ff74610af0f6	1										VRL	2697049			LINEAR	
BS000715			29782					2020-04-03	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner35/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner35/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	5269492bb335afeb4fdbcd7539e5ea74	1										VRL	2697049			LINEAR	
BS000716			29782					2020-05-11	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner36/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner36/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	e6b23db2de75cb5588b0464ec6260e3c	1										VRL	2697049			LINEAR	
BS000717			29782					2020-05-14	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner37/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner37/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	b2c95eaf0d62a5598370c536b9ae075f	1										VRL	2697049			LINEAR	
BS000718			29779					2020-04-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner38/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner38/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	d8a7fffd086f4f2d2112ece37d785874	1										VRL	2697049			LINEAR	
BS000719			29782					2020-05-30	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner39/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner39/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	01b8e53c8f1aa7b3023368b472d60fd2	1										VRL	2697049			LINEAR	
BS000720			29812					2020-06-10	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner41/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner41/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	cfc8a534f609d3a90eefdf2311b9945a	1										VRL	2697049			LINEAR	
BS000721			29812					2020-06-11	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner42/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner42/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	7feee294434cd047b832796348b1b55d	1										VRL	2697049			LINEAR	
BS000722			29812					2020-06-13	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner43/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner43/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	22b77dc71399faa46eadef9318dd9355	1										VRL	2697049			LINEAR	
BS000723			29797					2020-06-13	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner44/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner44/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	f03f2ddc5585ea3517af9a66bcf20a7d	1										VRL	2697049			LINEAR	
BS000724			29812					2020-06-20	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner45/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner45/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	22b77dc71399faa46eadef9318dd9355	1										VRL	2697049			LINEAR	
BS000725			29812					2020-06-22	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner46/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner46/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	22b77dc71399faa46eadef9318dd9355	1										VRL	2697049			LINEAR	
BS000726			29812					2020-06-29	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner47/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner47/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	beffd3d37533fb49e3c0eb5e84ca600c	1										VRL	2697049			LINEAR	
BS000727			29812					2020-06-30	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner48/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner48/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	a9dfb91911280aa93835282ad23f59fa	1										VRL	2697049			LINEAR	
BS000728			29803					2020-06-30	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner49/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner49/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	2f0262968e01e9b870e0d3200504ddd6	1										VRL	2697049			LINEAR	
BS000729			29782					2020-07-01	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner50/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner50/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	fef3cf847332d0f1c3e77021eb2454b9	1										VRL	2697049			LINEAR	
BS000730			29812					2020-07-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner51/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner51/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	708df22b6867014032ed9ff758f50876	1										VRL	2697049			LINEAR	
BS000731			29782					2020-07-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner52/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner52/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	80242d6a495ed9a719cd54f0ba653b86	1										VRL	2697049			LINEAR	
BS000732			29812					2020-07-06	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner53/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner53/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	c4ae4a74c06196529614eb22d73775b7	1										VRL	2697049			LINEAR	
BS000733			29782					2020-07-07	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner54/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner54/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	483912d0205b6d2f719b55dc99e8c115	1										VRL	2697049			LINEAR	
BS000734			29782					2020-07-08	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner55/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner55/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	27332298c9950b7d58f67ee0e056b502	1										VRL	2697049			LINEAR	
BS000735			29812					2020-07-11	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner57/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner57/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	8eb525370bfe75ee5d390f2144060781	1										VRL	2697049			LINEAR	
BS000736			29782					2020-07-13	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner58/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner58/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	e32cfeb80232248f7d149624e14a875d	1										VRL	2697049			LINEAR	
BS000737			29809					2020-07-15	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner59/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner59/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	fdab8f89aab34074e523ecd3854bd8c5	1										VRL	2697049			LINEAR	
BS000738			29782					2020-07-16	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner60/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner60/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	112a9838ea712c267bbaafa4a980bd3b	1										VRL	2697049			LINEAR	
BS000739			29812					2020-07-20	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner61/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner61/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	6f4300fe79f277c438ff68d1204dbf35	1										VRL	2697049			LINEAR	
BS000740			29812					2020-07-20	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner62/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner62/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	cf0b6a295a5406a6b6251dde0c0ce2fd	1										VRL	2697049			LINEAR	
BS000741			29782					2020-07-21	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner63/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner63/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	01b8e53c8f1aa7b3023368b472d60fd2	1										VRL	2697049			LINEAR	
BS000742			29812					2020-07-21	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner64/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner64/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	25b26e504b553ccb442f6f8b322680ed	1										VRL	2697049			LINEAR	
BS000743			29812					2020-07-22	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner65/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner65/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	8abdad79b0da70472e4e45146bc847fe	1										VRL	2697049			LINEAR	
BS000744			29782					2020-07-24	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner66/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner66/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	2ccd9c59bc32e3b8df1bcee65bfc9081	1										VRL	2697049			LINEAR	
BS000745			29812					2020-07-24	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner67/2020 RNA, nearly complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner67/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	558342741f573a5ac8d548ab6aa2d268	1										VRL	2697049			LINEAR	
BS000746			29812					2020-07-25	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner68/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner68/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	de906c6d0747e61a56fcbbb92c87fe6a	1										VRL	2697049			LINEAR	
BS000747			29812					2020-07-27	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner69/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner69/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	d758e14d8f3fa75847f2cf40d15eace1	1										VRL	2697049			LINEAR	
BS000748			29782					2020-07-27	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner70/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner70/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	b9f9ce7b62db61f0043d8f61715f6e3a	1										VRL	2697049			LINEAR	
BS000749			29782					2020-07-27	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner71/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner71/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	01b8e53c8f1aa7b3023368b472d60fd2	1										VRL	2697049			LINEAR	
BS000750			29811					2020-07-27	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner72/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner72/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	16302032007443ac3957b94ba52a65e5	1										VRL	2697049			LINEAR	
BS000751			29812					2020-07-28	Japan:Kanto			STD	Severe acute respiratory syndrome coronavirus 2 hCoV-19/Japan/Donner73/2020 RNA, complete genome.					false	2021-06-02	false		Homo sapiens		hCoV-19/Japan/Donner73/2020	oropharyngeal swab			2021-06-02				genomic RNA							Severe acute respiratory syndrome coronavirus 2	6a97eac506113b9904026ab4984bf9a6	1										VRL	2697049			LINEAR	
